f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,label,label_flip
1,37,79.46339,0,1,0,100,0,1,18,0,1,1,2,0,1,0,322,469,882,754,1,1
0,33,73.02314,0,1,0,90,0,1,224,0,1,1,3,1,1,1,168,575,1035,1525,1,1
1,43,69.47793,0,1,0,100,0,1,0,0,0,1,1,0,0,0,377,333,1147,1088,1,1
3,42,89.15934,0,1,0,100,1,1,513,0,1,1,3,0,0,0,238,324,775,1019,1,1
0,37,137.46581,0,1,0,100,0,0,4,0,1,0,3,0,0,1,500,443,1601,849,0,0
2,37,71.87923,0,1,0,90,0,1,238,0,1,1,2,0,1,1,520,543,740,694,1,1
0,27,86.94414,0,1,0,100,0,1,803,0,1,1,2,0,0,0,274,314,1563,664,0,0
2,39,93.49177,0,1,0,100,0,0,137,0,1,1,3,1,1,1,375,330,1339,1398,0,0
1,40,79.31533,0,0,0,100,0,0,4,0,1,0,1,0,1,1,404,764,1334,1403,0,0
1,36,68.61661,0,1,0,100,0,0,0,0,1,0,1,0,1,0,196,496,863,846,0,0
2,24,77.40261,0,1,0,100,0,1,443,0,1,1,3,0,1,1,400,142,1191,1443,1,0
3,30,65.42585,0,1,0,100,0,0,0,1,1,0,1,0,1,0,475,511,844,997,1,1
1,29,73.07705,0,1,0,100,0,1,997,0,1,1,3,0,1,0,290,727,2007,1186,0,0
0,35,85.40018,0,1,0,100,0,0,15,0,1,0,1,1,1,0,400,615,708,686,0,0
2,36,69.57742,1,1,0,100,0,1,489,0,1,0,3,0,1,1,561,470,2552,613,0,0
1,28,75.83373,0,1,0,100,0,1,0,0,1,1,3,0,0,1,445,417,775,619,1,0
3,34,88.19351,0,0,0,100,0,1,49,1,1,0,1,0,1,0,252,409,1423,1389,0,0
1,38,67.77938,1,1,1,100,0,1,2,1,1,1,1,0,1,0,293,320,683,888,0,0
3,45,68.28695,0,1,0,100,0,1,492,0,0,1,1,0,1,0,325,264,1773,959,1,1
3,41,72.10005,0,1,0,90,0,0,195,1,1,0,1,0,1,0,242,266,865,1163,1,1
1,37,74.78746,0,1,0,100,0,1,0,0,1,1,3,0,0,0,243,535,696,1785,0,0
3,37,85.36749,0,0,0,100,0,1,429,0,1,1,2,0,1,0,278,449,654,643,0,0
3,42,75.91534,0,1,0,100,0,0,0,0,1,0,1,0,1,0,369,401,645,670,0,0
2,36,79.80543,0,1,0,100,0,1,500,0,1,1,3,0,1,0,223,458,602,610,0,0
3,39,47.39837,0,0,0,100,0,1,156,0,1,1,3,0,0,0,179,450,1836,1115,0,0
2,39,61.51874,0,1,0,100,0,0,0,1,1,0,1,0,1,0,416,983,1067,737,0,0
0,25,94.66302,0,1,0,100,0,1,567,0,1,0,3,0,0,0,512,642,1506,918,1,1
1,36,68.87198,0,1,0,90,0,0,7,0,1,0,1,0,1,0,251,689,1376,1598,1,1
2,36,64.94034,0,0,0,90,0,1,770,0,1,1,2,0,1,0,277,266,1328,899,1,1
2,19,78.32288,0,0,1,90,0,0,7,0,1,0,1,0,1,0,527,292,1150,437,0,0
0,22,66.34741,0,0,0,100,0,0,0,1,1,0,1,0,0,1,373,404,843,365,1,1
3,28,66.00806,0,1,0,100,0,1,1333,0,1,1,2,0,0,0,326,443,709,683,1,1
3,29,69.32913,0,1,0,100,0,1,794,0,1,1,3,0,1,0,195,172,1467,598,1,0
3,29,81.09183,0,1,0,100,0,1,10,0,1,1,1,0,1,0,235,497,1361,1040,0,0
2,41,89.69489,0,1,0,100,0,1,835,0,1,1,3,0,1,0,226,412,1192,755,1,1
3,29,67.24332,0,1,1,90,0,1,10,1,1,1,3,1,1,0,437,493,841,929,0,0
3,41,88.70798,0,1,1,100,0,1,757,0,1,1,3,0,1,0,428,257,1962,785,1,0
2,36,72.80453,0,1,0,100,0,0,16,0,1,0,1,0,0,0,440,680,934,1238,0,0
2,37,73.95543,0,1,0,100,0,1,247,0,1,1,3,0,1,0,281,335,1053,571,0,0
2,28,72.92037,0,0,0,100,0,0,12,1,1,0,1,0,1,0,293,478,562,1114,0,0
1,26,66.98809,0,0,0,100,0,0,0,0,1,0,1,0,1,0,552,446,1383,770,0,0
0,37,70.94829,0,0,0,100,0,1,951,0,0,1,2,0,0,0,376,325,1085,813,1,1
3,36,59.38079,0,0,0,90,1,1,1367,0,1,1,3,0,1,1,206,371,1299,1129,1,1
2,29,67.42741,0,1,0,100,0,1,994,0,1,1,3,0,1,0,437,487,1020,1376,1,1
2,24,75.94609,0,1,0,100,0,0,132,1,1,0,1,1,0,0,361,316,856,1428,1,1
1,33,84.91708,0,1,0,100,0,0,11,1,1,0,1,0,1,0,386,924,722,1355,0,0
2,34,77.45204,0,1,0,100,0,1,160,0,1,1,1,0,1,1,159,418,790,1380,0,0
2,38,51.75645,0,0,1,90,0,1,52,0,1,1,2,0,1,0,190,411,925,1319,1,1
0,16,109.31356,0,1,0,100,0,0,0,0,1,0,1,0,1,0,218,743,865,655,0,0
0,33,80.10065,0,1,1,100,0,1,308,0,1,0,3,0,1,0,328,458,549,655,0,0
0,32,64.31342,0,1,0,100,0,1,338,0,1,1,3,0,0,1,460,238,718,1246,0,0
1,39,76.62481,0,1,0,80,0,0,1267,0,1,1,1,0,1,0,169,326,712,664,0,0
0,33,72.11354,0,1,0,100,0,0,18,1,1,0,2,0,1,0,230,576,746,593,1,1
0,31,82.82155,0,1,0,100,0,1,0,1,1,0,1,1,1,1,261,353,623,488,1,1
2,39,68.39262,0,1,0,100,0,1,871,0,1,0,1,0,1,0,380,385,1065,594,0,0
0,36,92.79807,0,0,1,90,0,0,0,0,0,0,1,0,1,0,201,361,1068,495,0,0
3,42,77.36131,0,0,0,90,0,1,867,0,1,1,3,0,1,0,234,471,767,906,1,1
3,42,82.09619,0,1,0,100,0,0,0,0,1,0,1,0,1,0,274,527,872,562,1,1
3,31,70.65144,0,1,0,100,0,0,0,1,1,0,1,0,1,0,321,467,805,1069,0,0
3,37,72.68496,0,1,0,100,0,1,1025,0,1,1,2,0,1,1,218,267,732,691,1,0
0,33,77.1297,0,1,0,100,0,1,590,0,1,1,3,0,0,0,214,354,1252,586,1,0
